Company Name (EN),Company Name (FA),Website,Company URL,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
Nebka,نبکا,https://bourseeye.com,https://jobinja.ir/companies/nebka-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Dayangrp,گروه دایان,http://Dayangrp.com,https://jobinja.ir/companies/dayangrp,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1390
Bitex,بیتکس,http://www.bitex.ir,https://jobinja.ir/companies/bitex-1,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Platin Iran,پلاتین ایران,http://www.platiniran.ir,https://jobinja.ir/companies/platiniran,51,200,تولید و صنایع,1359
Hamtapay,همتاپی,http://www.hamtapay.net,https://jobinja.ir/companies/hamtapay-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Derak Cloud,ابر دراک,http://Derak.cloud,https://jobinja.ir/companies/derak-cloud,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Aliasys,آلیاسیس ارتباط,http://aliasys.co,https://jobinja.ir/companies/aliasys-1,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1383
SJI Company,هلدینگ شکوه جاوید ایرانیان,http://sjicompany.com,https://jobinja.ir/companies/transiva-investment,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1386
Tether Land,تترلند,https://tetherland.com,https://jobinja.ir/companies/tetherland,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1396
Danayan Financial Group,گروه مالی دانایان,https://danayan.com,https://jobinja.ir/companies/danayanpars,51,200,مالی و اعتباری,1383
Hafez Brokerage Company,کارگزاری حافظ,https://hafezbroker.ir,https://jobinja.ir/companies/hafez-brokerage-company,201,500,مالی و اعتباری,1383
Pezeshk24,پزشک 24,https://pezeshk24.com/,https://jobinja.ir/companies/pezeshk24,11,50,خدمات درمانی، پزشکی و سلامت,1397
Narvanventures,کارآفرینی سرمایه پرداز نارون,https://narvanstartupstudio.com,https://jobinja.ir/companies/narvan-venture-builder,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Homeca,هومکا,http://www.homeca.ir,https://jobinja.ir/companies/homeca-1,11,50,خدمات درمانی، پزشکی و سلامت,1399
Dahi Bondad,داهی بنداد,http://dahibondad.com,https://jobinja.ir/companies/dahi-bondad,11,50,نفت و گاز,1389
HDMarketing,اچ دی ام,http://hdmarketing.org,https://jobinja.ir/companies/hdmarketing,N/A,N/A,تبلیغات، بازاریابی و برندسازی,N/A
Zhivar,ژیوار,https://zhivardecor.com/,https://jobinja.ir/companies/zhivar-6,11,50,معماری و عمران,1386
abrNOC,ابرناک,http://abrnoc.com,https://jobinja.ir/companies/abrnoc,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Mahd Looleh Emruz,مهد لوله امروز (کارآهن),http://Karahan.ir,https://jobinja.ir/companies/mahd-looleh-emruz,11,50,واردات و صادرات,1394
E Business Companion,همراه کسب و کارهای هوشمند,http://www.ebcom.ir,https://jobinja.ir/companies/intelligent-business-companion,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1397
FINNOTECH,فینوتک پارس,https://www.finnotech.ir,https://jobinja.ir/companies/finnotech-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Davandegane Hooshmande Javid,دوندگان هوشمند جاوید,http://smartrunners.ir,https://jobinja.ir/companies/smart-runners,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Pinorest,پینورست,http://pinorest.com,https://jobinja.ir/companies/pinorest,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1393
liaservices,لیا سرویس,https://liaservices.ir,https://jobinja.ir/companies/liaservices,N/A,N/A,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
Segal,پیشگامان فناوری اطلاعات سگال,http://segalitp.com,https://jobinja.ir/companies/segal-7,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1391
Zaban Shenas,زبانشناس,https://zabanshenas.com,https://jobinja.ir/companies/zabanshenas,N/A,N/A,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
TashilCar,تسهیل کار,http://tashilcar.ir,https://jobinja.ir/companies/vafa-3,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Panco,پنکو,http://panco.me,https://jobinja.ir/companies/payam-negar-tandis-lyan,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Tosse e Va Noavari Shahr,توسعه و نوآوری شهر,https://www.citydi.com/,https://jobinja.ir/companies/toseea-va-noavari-shahr,N/A,N/A,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
Amnban,امن بان,https://amnban.ir,https://jobinja.ir/companies/amnban,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
