,company_name,company_url
100,ادب ویزا,https://jobinja.ir/companies/arad-international-educational-counselors
101,همیار گشت سفربازی,https://jobinja.ir/companies/hamyar-gasht-safarbazi
102,فاوین,https://jobinja.ir/companies/fater-tejarat
103,زبلاین,https://jobinja.ir/companies/Zebline
104,مهاجرتی پرشین مایگرنت,https://jobinja.ir/companies/persian-migrant-consultants
105,زیبال,https://jobinja.ir/companies/zibal
106,فراگستر الکترونیک,https://jobinja.ir/companies/faragostar-electronic-1
107,فولاد تجارت هونام,https://jobinja.ir/companies/ahan-aval
108,کیانام ارتباط,https://jobinja.ir/companies/kianam-ertebat-1
109,نهال‌گشت,https://jobinja.ir/companies/nahalgasht
110,کلینیک سریتا,https://jobinja.ir/companies/dr-serita
111,گروه ایده‌کاوان,https://jobinja.ir/companies/behtarino
112,پینکت,https://jobinja.ir/companies/pinket
113,کارگزاری اقتصاد بیدار,https://jobinja.ir/companies/eghtesade-bidar
114,همتا رایانه,https://jobinja.ir/companies/hamtarayaneh
115,باسط پژوه تهران,https://jobinja.ir/companies/baset-pazhuh-tehran
116,تجهیز صنعت,https://jobinja.ir/companies/tajhizsanat
117,وندار,https://jobinja.ir/companies/vandar
118,ویش ورک,https://jobinja.ir/companies/wish-work
119,حامی پیشگامان,https://jobinja.ir/companies/hami-4
120,پیوان,https://jobinja.ir/companies/salem-tejarat-asia-1
121,اپتک,https://jobinja.ir/companies/apptech
122,خدمات گردشگری یوتراوز,https://jobinja.ir/companies/sarv-software-developers
123,آهن آنلاین,https://jobinja.ir/companies/ahanonline-2
124,هلدینگ بین المللی G2,https://jobinja.ir/companies/go2tr
125,پیام رسان آیگپ,https://jobinja.ir/companies/kian-iranian-stdg
126,شیانچی,https://jobinja.ir/companies/shianchi
127,موسسه زبان ایران اروپا,https://jobinja.ir/companies/iran-europe-english-school
128,مدیریت سرمایه آوای اطمینان,https://jobinja.ir/companies/e-co
129,دیناوین,https://jobinja.ir/companies/dinawin-1
130,بله,https://jobinja.ir/companies/bale
131,ارزدیجیتال,https://jobinja.ir/companies/arzdigital
132,نیک اندیش,https://jobinja.ir/companies/nikandish
133,فرامین گستر,https://jobinja.ir/companies/faramin
134,پیتام,https://jobinja.ir/companies/peytam
135,فوتبالی,https://jobinja.ir/companies/footballi
136,سیگنال,https://jobinja.ir/companies/signal
137,یوآیدی,https://jobinja.ir/companies/uid
138,آریامدتور,https://jobinja.ir/companies/ariamedtour
139,نوبیتکس,https://jobinja.ir/companies/nobitex-1
140,دایو پارس,https://jobinja.ir/companies/dio-pars
141,اینسایتل,https://jobinja.ir/companies/incytel-games
142,علاءالدین تراول,https://jobinja.ir/companies/alaedin-travel
143,کانون تابان شهر,https://jobinja.ir/companies/tabaneshahr-com
144,اپی اکو (ای پی آی مارکت ایرانی),https://jobinja.ir/companies/apieco
145,گروه مبتکر,https://jobinja.ir/companies/innovative-technology-group
146,نوبار,https://jobinja.ir/companies/nobaar-1
147,دیدار,https://jobinja.ir/companies/didar-crm
148,گراف,https://jobinja.ir/companies/graph-inc
149,دیجی فای,https://jobinja.ir/companies/digify
150,پارادایم,https://jobinja.ir/companies/paradigm-creative-communications-agency
151,میهن بلاکچین,https://jobinja.ir/companies/mihanblockchain-1
152,لینگولند,https://jobinja.ir/companies/lingoland
153,آسمونی,https://jobinja.ir/companies/asemooni
154,اکووات,https://jobinja.ir/companies/ecowat
155,رادوین تجارت,https://jobinja.ir/companies/rodween
156,نقشه و مسیریاب نشان,https://jobinja.ir/companies/rajman-information-structures
157,ایده پردازان,https://jobinja.ir/companies/ideh-pardazan-1
158,رهیاب رایانه گستر,https://jobinja.ir/companies/rahyab-rayaneh-gostar
159,پ نشر,https://jobinja.ir/companies/puyandegan-teb-buqrat
160,مهندسی یاس ارغوانی,https://jobinja.ir/companies/yaas-arghavani-system-engineering
161,دوان,https://jobinja.ir/companies/the-one
162,رونیکس,https://jobinja.ir/companies/ronix-1
163,مهاد صنعت,https://jobinja.ir/companies/mehad-sanat
164,راهکارهای جامع ارشن,https://jobinja.ir/companies/ershan
165,جیبیت,https://jobinja.ir/companies/jibit
166,خودرو45,https://jobinja.ir/companies/carpars
167,ایرانیکارت,https://jobinja.ir/companies/iranicard
168,بازی گستران دریک,https://jobinja.ir/companies/medrick
169,گلرنگ سیستم,https://jobinja.ir/companies/golrang-industrial-group
170,فن آوران نوین سپیدز ایرانیان,https://jobinja.ir/companies/fan-avaran-novin-sepidz-iranian
171,پارس ارتباط افزار,https://jobinja.ir/companies/pea
172,مشاور نرم افزار محک,https://jobinja.ir/companies/mahak-software-group
173,پردازش اطلاعات شتاب,https://jobinja.ir/companies/shetab-1
174,رایانه کمک,https://jobinja.ir/companies/rayanehkomak
175,جیبی‌مو,https://jobinja.ir/companies/jibimo
176,گروه ارنیکا,https://jobinja.ir/companies/ernyka
177,آسرون,https://jobinja.ir/companies/asroon
178,توسعه فناوری سوشیانت,https://jobinja.ir/companies/soshyant-1
179,سایت ایسام,https://jobinja.ir/companies/esam-ir
180,آدانیک افزار,https://jobinja.ir/companies/adanic
181,رسا دانش سیستم,https://jobinja.ir/companies/rdsysco
182,ابر آروان,https://jobinja.ir/companies/arvan-cloud
183,هلدینگ بان,https://jobinja.ir/companies/Holding%20BUN
184,دانا پرداز,https://jobinja.ir/companies/danapardaz
185,آناد صنعت سپهر,https://jobinja.ir/companies/anad
186,فناوران اطلاعات خبره,https://jobinja.ir/companies/fanavaran-5
187,فرادرس,https://jobinja.ir/companies/Faradars
188,هلدینگ زئوس,https://jobinja.ir/companies/zeus-holding
189,استدیو نت ابزار,https://jobinja.ir/companies/netware-studio
190,برهان سیستم پاسارگاد (دانش بنیان),https://jobinja.ir/companies/borhansystem
191,پونه مدیا,https://jobinja.ir/companies/poonehmedia
192,گپ فیلم,https://jobinja.ir/companies/rashin-studio
193,پدیده مریلا,https://jobinja.ir/companies/padide-merila
194,دامون,https://jobinja.ir/companies/damoon
195,آریانا شبکه آفاق,https://jobinja.ir/companies/ariyana-soft
196,پتیاک,https://jobinja.ir/companies/petiak-system
